"","p.value","HR","Low 95%CI","High 95%CI"
"HMOX1",0.235045166223835,1.07345634598038,0.954933837821181,1.20668938630838
"HNMT",0.238104713091865,1.09728504940029,0.940447313807003,1.28027850360204
"HPGDS",0.00829945254946576,1.25768860858287,1.0608130546152,1.49110215911974
"HRH2",0.0454250773728985,1.21313310397772,1.00394129298022,1.46591433010777
"ICAM1",0.694013854542256,1.01802819754139,0.931324258357393,1.1128040547524
"ICAM3",0.577167400341027,0.930526024285975,0.722428545031718,1.19856654035652
"ICOS",0.0253175380665129,0.787757269737613,0.639140757387533,0.970930908178948
"IFFO1",0.522415785605171,1.05612361166249,0.893402557020614,1.24848208049766
"IFNAR1",0.501212794694789,0.928901009940315,0.749254931962951,1.15162016218907
"IFNGR1",0.136854287033599,1.14956674358797,0.956706559379065,1.38130515047493
"IGSF6",0.385516588291173,0.93572203188253,0.805339544851687,1.08721312215162
"IKZF1",0.91425029262794,1.00865187580895,0.862268449404162,1.17988615642371
"IKZF3",0.114920009961854,0.86606873738482,0.724291028636097,1.03559899021225
"IL10",0.491430936137508,1.04751267036008,0.917767586024866,1.19559985695025
"IL10RA",0.487984723787468,1.04386928014548,0.924591634120752,1.17853442949185
"IL12RB1",0.766027805702738,0.973028783065683,0.812673297205748,1.16502537480887
"IL16",0.505853366307494,1.06474978715127,0.885070039535473,1.28090666116514
"IL17RA",0.262201337823108,1.12038412262997,0.918478710164966,1.36667357484625
"IL18BP",0.0224108591428103,0.815014670358747,0.683772579569353,0.971447134247951
"IL1B",0.0644629245123801,1.10748959991428,0.993889598598964,1.23407390081078
"IL21R",0.16248355556374,0.875707413423122,0.726902868630193,1.05497378950963
"IL2RA",0.810577352160742,0.979532832347187,0.827137973538999,1.16000546503849
"IL2RB",0.63606392000065,0.97596476869841,0.882412967567243,1.07943475985688
"IL2RG",0.068756292610882,0.916390581698273,0.834152601231232,1.00673629379777
"IL4R",0.401550473303852,1.05156330872879,0.935012716761337,1.18264208864967
"IL7R",0.438355373982473,0.954807863209119,0.849419174506057,1.07327228182258
"INPP5D",0.389653028621404,1.05556734768073,0.933203098829893,1.19397634543522
"IRAK3",0.37539979421872,1.08982862168942,0.901060523750959,1.31814278103002
"IRF4",0.0251828581999805,0.816273678409983,0.683352528479993,0.975049758792942
"IRF8",0.933106012040203,0.994628714680083,0.877090933026148,1.12791757708965
"ITGA4",0.186886635122313,1.11890719641529,0.946967591442823,1.3220656393134
"ITGAL",0.448170598307087,0.953350543646396,0.84263434135724,1.07861407310666
"ITGAM",0.0477628311165382,1.13503608660208,1.00124911066024,1.28669968759267
"ITGAX",0.7597530649674,1.02164490375697,0.890624512328753,1.17193979609144
"ITGB2",0.256307264832609,1.05794213842375,0.959900312920051,1.16599771162471
"ITGB7",0.486827099785253,1.06580946349504,0.890556571033768,1.27555042478318
"ITK",0.13673158607123,0.803145535195849,0.601723952607151,1.07199114795112
"JAK2",0.169761016553486,0.858946529582879,0.691354115426829,1.06716532702922
"JAK3",0.365106671301299,1.06561565937951,0.928689474655854,1.22273027153196
"KCNA3",0.0974589446467091,0.786820132969514,0.592563875546142,1.04475812177308
"KCNAB2",0.162529168720964,1.13386068176827,0.950588233929748,1.35246787175678
"KCNMB1",0.740399126753113,0.959172816968481,0.749561209122602,1.22740142047662
"KIAA0513",0.596471265614067,1.06074724187252,0.852717564674358,1.31952800992185
"KIAA0930",0.127326158343242,1.17213078138008,0.955676393758516,1.43761065736426
"KIF21B",0.736118332873968,1.04282085676158,0.817152210402443,1.3308112313144
"KLRB1",0.0795253379689505,0.866740098623178,0.738690420088311,1.01698678923101
"KYNU",0.671600833186773,0.941276133566656,0.711555614401042,1.24516024002986
"LAG3",0.0590369656708568,0.883296858406838,0.776527275299603,1.00474685808089
"LAIR1",0.456780181687847,1.04718689339511,0.927437242312935,1.18239848441249
"LAPTM5",0.334023114672116,1.04790528642505,0.952996880298299,1.15226556562687
"LAT2",0.190856657472756,1.10542659747325,0.951273177491058,1.28456051459811
"LAX1",0.0565268463605395,0.814533530899274,0.659692045461943,1.0057190738061
"LCK",0.0867460367669887,0.876314248046901,0.753435398573124,1.01923358364145
"LCP1",0.92587879901475,1.00501814258495,0.904429106675321,1.11679451652976
"LCP2",0.994611115876301,1.00044058255775,0.880394603408324,1.13685540024181
"LGMN",0.930458176224518,1.00791728874901,0.844316082913615,1.20321912790462
"LHFPL2",0.183119660205072,1.13084830262123,0.943574573485825,1.35529074169201
"LILRA1",0.0600899719826135,1.26865423710427,0.989947144991837,1.62582778430648
"LILRA2",0.000702399474628866,1.42670185044493,1.16163065920155,1.75225933814634
"LILRA5",0.530539028408168,0.935169659310283,0.758441688165582,1.15307782436081
"LILRB1",0.885518599495183,0.989621107074769,0.858593541255441,1.14064442429404
"LILRB2",0.793258574992393,0.981332065971635,0.852338827793583,1.12984718318778
"LILRB3",0.809233425373692,1.03101513205721,0.804583011186613,1.32117157304034
"LILRB4",0.961829801139719,0.99723605417497,0.890368763536753,1.11693018496758
"LILRB5",0.861871056732756,1.02076517616916,0.809803357058953,1.28668464485484
"LIPA",0.499435858398919,1.05665719786367,0.900485393944998,1.23991398561797
"LPAR6",0.217074827875027,1.08201574271285,0.954718810393612,1.22628574480037
"LPXN",0.843668521902689,0.982488447263788,0.824273819922561,1.17107146396752
"LSP1",0.445198084890659,1.04996807791999,0.926427607098736,1.18998285047167
