Tag	dynamicColors	mergedColors
ARID5A	brown	brown
ARID5B	turquoise	darkgreen
ARIH1	darkred	darkgreen
ARIH2	purple	darkgreen
ARIH2OS	grey	grey
ARL1	black	darkgreen
ARL10	turquoise	darkgreen
ARL11	brown	brown
ARL13B	grey	grey
ARL14EP	darkorange2	darkgreen
ARL15	blue	blue
ARL16	mediumpurple3	bisque4
ARL17B	grey	grey
ARL2	grey	grey
ARL2BP	tan	darkgreen
ARL3	floralwhite	darkgreen
ARL4A	grey	grey
ARL4C	grey	grey
ARL4D	grey	grey
ARL5A	steelblue	darkgreen
ARL5B	turquoise	darkgreen
ARL6	sienna3	darkgreen
ARL6IP1	yellow	yellow
ARL6IP4	grey	grey
ARL6IP5	grey	grey
ARL6IP6	steelblue	darkgreen
ARL8A	turquoise	darkgreen
ARL8B	purple	darkgreen
ARL9	grey	grey
ARMC1	plum2	plum2
ARMC10	turquoise	darkgreen
ARMC12	grey	grey
ARMC2	maroon	darkgreen
ARMC3	green	green
ARMC4	green	green
ARMC5	skyblue3	darkgreen
ARMC6	salmon4	salmon4
ARMC7	mediumpurple3	bisque4
ARMC8	sienna3	darkgreen
ARMC9	turquoise	darkgreen
ARMCX1	grey	grey
ARMCX2	salmon	darkgreen
ARMCX3	salmon	darkgreen
ARMCX4	red	red
ARMCX5	salmon	darkgreen
ARMCX5-GPRASP2	salmon	darkgreen
ARMCX6	salmon	darkgreen
ARMH1	green	green
ARMH3	floralwhite	darkgreen
ARMH4	blue	blue
ARMT1	lightcyan1	darkgreen
ARNT	turquoise	darkgreen
ARNT2	turquoise	darkgreen
ARNTL	brown	brown
ARNTL2	brown4	brown4
ARPC1A	turquoise	darkgreen
ARPC1B	brown	brown
ARPC2	grey	grey
ARPC3	grey	grey
ARPC4	grey	grey
ARPC5	lightcyan	darkgreen
ARPC5L	midnightblue	darkgreen
ARPIN	darkred	darkgreen
ARPP19	ivory	darkgreen
ARRB1	brown	brown
ARRB2	brown	brown
ARRDC1	lightgreen	darkgreen
ARRDC2	brown	brown
ARRDC3	saddlebrown	darkgreen
ARRDC4	grey	grey
ARSA	brown	brown
ARSB	blue	blue
ARSD	salmon	darkgreen
ARSG	bisque4	bisque4
ARSH	grey	grey
ARSI	blue	blue
ARSJ	blue	blue
ARSK	saddlebrown	darkgreen
ART5	grey	grey
ARTN	grey	grey
ARV1	lightcyan	darkgreen
ARVCF	grey60	darkgreen
ASAH1	palevioletred3	palevioletred3
ASAH2B	turquoise	darkgreen
ASAP1	plum2	plum2
ASAP2	turquoise	darkgreen
ASAP3	pink	darkgreen
ASB1	turquoise	darkgreen
ASB12	grey	grey
ASB13	tan	darkgreen
ASB16	red	red
ASB2	grey	grey
ASB6	lightgreen	darkgreen
ASB7	darkred	darkgreen
ASB8	black	darkgreen
ASB9	grey	grey
ASCC1	floralwhite	darkgreen
ASCC2	grey60	darkgreen
ASCC3	maroon	darkgreen
ASCL2	grey	grey
ASCL5	grey	grey
ASF1A	lightcyan1	darkgreen
ASF1B	yellow	yellow
ASH1L	turquoise	darkgreen
ASH2L	turquoise	darkgreen
ASIC1	grey	grey
ASIC3	red	red
ASIP	grey	grey
ASL	brown	brown
ASMTL	salmon	darkgreen
ASNS	grey	grey
ASNSD1	steelblue	darkgreen
ASPG	grey	grey
ASPH	turquoise	darkgreen
ASPHD1	grey	grey
ASPHD2	grey	grey
ASPM	yellow	yellow
ASPN	blue	blue
ASPRV1	grey	grey
ASPSCR1	mediumpurple3	bisque4
ASRGL1	grey	grey
ASS1	grey	grey
ASTE1	sienna3	darkgreen
ASTL	grey	grey
ASTN1	grey	grey
ASTN2	midnightblue	darkgreen
ASXL1	orange	darkgreen
ASXL2	turquoise	darkgreen
ATAD1	floralwhite	darkgreen
ATAD2	plum2	plum2
ATAD2B	cyan	darkgreen
ATAD3A	pink	darkgreen
ATAD3B	pink	darkgreen
ATAD3C	grey	grey
ATAD5	yellow	yellow
ATAT1	magenta	darkgreen
ATE1	turquoise	darkgreen
ATF1	black	darkgreen
ATF2	steelblue	darkgreen
ATF3	blue	blue
ATF4	grey	grey
ATF5	grey	grey
ATF6	turquoise	darkgreen
ATF6B	magenta	darkgreen
ATF7	turquoise	darkgreen
ATF7-NPFF	red	red
ATF7IP	turquoise	darkgreen
ATF7IP2	grey	grey
ATG10	grey	grey
ATG101	black	darkgreen
ATG12	saddlebrown	darkgreen
ATG13	turquoise	darkgreen
ATG14	greenyellow	darkgreen
ATG16L1	turquoise	darkgreen
ATG16L2	red	red
ATG2A	darkolivegreen	darkgreen
ATG2B	greenyellow	darkgreen
ATG3	sienna3	darkgreen
ATG4A	salmon	darkgreen
ATG4B	turquoise	darkgreen
ATG4C	yellow	yellow
ATG4D	thistle2	salmon4
ATG5	maroon	darkgreen
ATG7	purple	darkgreen
ATG9A	turquoise	darkgreen
ATG9B	green	green
ATIC	turquoise	darkgreen
ATL1	greenyellow	darkgreen
ATL2	cyan	darkgreen
ATL3	brown	brown
ATM	yellowgreen	darkgreen
ATMIN	tan	darkgreen
ATN1	brown4	brown4
ATOH7	grey	grey
ATOH8	grey	grey
ATOX1	turquoise	darkgreen
ATP10A	blue	blue
ATP10B	grey	grey
ATP10D	blue	blue
ATP11A	lightgreen	darkgreen
ATP11B	lightpink4	darkgreen
ATP11C	salmon	darkgreen
ATP13A1	salmon4	salmon4
ATP13A2	pink	darkgreen
ATP13A3	lightpink4	darkgreen
ATP1A1	turquoise	darkgreen
ATP1A2	grey	grey
ATP1A3	grey	grey
ATP1B1	grey	grey
ATP1B2	grey	grey
ATP1B3	grey	grey
ATP23	grey	grey
ATP2A1	red	red
ATP2A2	black	darkgreen
ATP2A3	brown	brown
ATP2B1	black	darkgreen
ATP2B2	grey	grey
ATP2B4	turquoise	darkgreen
ATP2C1	sienna3	darkgreen
ATP2C2	grey	grey
ATP5F1A	honeydew1	darkgreen
ATP5F1B	grey	grey
ATP5F1C	yellow	yellow
ATP5F1D	turquoise	darkgreen
ATP5F1E	darkorange	darkorange
ATP5IF1	blue	blue
ATP5MC1	turquoise	darkgreen
ATP5MC2	darkorange	darkorange
ATP5MC3	grey	grey
ATP5MD	turquoise	darkgreen
ATP5ME	turquoise	darkgreen
ATP5MF	turquoise	darkgreen
ATP5MG	grey	grey
ATP5MPL	turquoise	darkgreen
ATP5PB	grey	grey
ATP5PD	mediumpurple3	bisque4
ATP5PF	grey	grey
ATP5PO	grey	grey
ATP6AP1	salmon	darkgreen
ATP6AP1L	saddlebrown	darkgreen
ATP6AP2	salmon	darkgreen
ATP6V0A1	darkturquoise	darkgreen
ATP6V0A2	black	darkgreen
ATP6V0B	grey	grey
ATP6V0C	lightsteelblue1	lightsteelblue1
ATP6V0D1	tan	darkgreen
ATP6V0E1	grey	grey
ATP6V0E2	darkseagreen4	darkgreen
ATP6V1A	sienna3	darkgreen
ATP6V1B1	grey	grey
ATP6V1B2	brown	brown
ATP6V1C1	plum2	plum2
ATP6V1C2	grey	grey
ATP6V1D	greenyellow	darkgreen
ATP6V1E1	grey60	darkgreen
ATP6V1E2	cyan	darkgreen
ATP6V1F	turquoise	darkgreen
ATP6V1FNB	turquoise	darkgreen
ATP6V1G1	midnightblue	darkgreen
ATP6V1G2	grey	grey
ATP6V1H	turquoise	darkgreen
ATP7A	salmon	darkgreen
ATP7B	turquoise	darkgreen
ATP8A1	royalblue	darkgreen
ATP8B1	honeydew1	darkgreen
ATP8B2	turquoise	darkgreen
ATP9A	orange	darkgreen
ATP9B	honeydew1	darkgreen
ATPAF1	brown	brown
ATPAF2	lightyellow	darkgreen
ATPSCKMT	turquoise	darkgreen
ATR	sienna3	darkgreen
ATRAID	grey	grey
ATRN	navajowhite2	navajowhite2
ATRX	steelblue	darkgreen
ATXN1	turquoise	darkgreen
ATXN10	grey60	darkgreen
ATXN1L	tan	darkgreen
ATXN2	black	darkgreen
ATXN2L	skyblue3	darkgreen
ATXN3	greenyellow	darkgreen
ATXN7	purple	darkgreen
ATXN7L1	turquoise	darkgreen
ATXN7L2	turquoise	darkgreen
ATXN7L3	darkturquoise	darkgreen
ATXN7L3B	black	darkgreen
AUH	midnightblue	darkgreen
AUNIP	yellow	yellow
AUP1	cyan	darkgreen
AURKA	yellow	yellow
AURKAIP1	grey	grey
AURKB	yellow	yellow
AURKC	grey	grey
AUTS2	turquoise	darkgreen
AVEN	ivory	darkgreen
AVIL	red	red
AVL9	thistle1	darkgreen
AVPI1	grey	grey
AVPR1A	blue	blue
AVPR1B	grey	grey
AVPR2	grey	grey
AXIN1	lightsteelblue1	lightsteelblue1
AXIN2	turquoise	darkgreen
AXL	brown	brown
AZGP1	grey	grey
AZI2	purple	darkgreen
AZIN1	plum2	plum2
AZIN2	grey	grey
B2M	brown	brown
B3GALNT1	sienna3	darkgreen
B3GALNT2	lightcyan	darkgreen
B3GALT1	grey	grey
B3GALT4	brown	brown
B3GALT6	pink	darkgreen
B3GAT3	grey	grey
B3GLCT	skyblue	darkgreen
B3GNT10	midnightblue	darkgreen
B3GNT2	cyan	darkgreen
B3GNT3	grey	grey
B3GNT4	grey	grey
B3GNT5	cyan	darkgreen
B3GNT7	grey	grey
B3GNT8	grey	grey
B3GNT9	blue	blue
B3GNTL1	mediumpurple3	bisque4
B4GALNT1	grey	grey
B4GALNT3	grey	grey
B4GALNT4	turquoise	darkgreen
B4GALT1	darkslateblue	darkslateblue
B4GALT2	skyblue3	darkgreen
B4GALT3	turquoise	darkgreen
B4GALT4	sienna3	darkgreen
B4GALT5	orange	darkgreen
B4GALT6	grey	grey
B4GALT7	plum1	darkgreen
B4GAT1	skyblue3	darkgreen
B9D1	green	green
B9D2	grey	grey
BAALC	grey	grey
BABAM1	salmon4	salmon4
BABAM2	cyan	darkgreen
BACE1	yellowgreen	darkgreen
BACE2	grey	grey
BACH1	turquoise	darkgreen
BACH2	turquoise	darkgreen
BAD	grey	grey
BAG1	darkslateblue	darkslateblue
BAG2	magenta	darkgreen
BAG3	salmon	darkgreen
BAG4	palevioletred3	palevioletred3
BAG5	greenyellow	darkgreen
BAG6	magenta	darkgreen
BAHCC1	blue	blue
BAHD1	ivory	darkgreen
BAIAP2	mediumpurple3	bisque4
BAIAP2L1	turquoise	darkgreen
BAIAP2L2	grey	grey
BAIAP3	green	green
BAK1	brown	brown
BAMBI	blue	blue
BANF1	grey	grey
BANK1	grey	grey
BANP	tan	darkgreen
BAP1	purple	darkgreen
BARD1	yellow	yellow
BARX1	blue	blue
BARX2	grey	grey
BASP1	blue	blue
BATF	violet	brown
BATF2	brown	brown
BATF3	brown	brown
BAX	paleturquoise	paleturquoise
BAZ1A	grey	grey
BAZ1B	turquoise	darkgreen
BAZ2A	turquoise	darkgreen
BAZ2B	steelblue	darkgreen
BBC3	grey	grey
BBIP1	grey	grey
BBOF1	green	green
BBOX1	grey	grey
BBS1	red	red
BBS10	black	darkgreen
BBS12	darkgreen	darkgreen
BBS2	tan	darkgreen
BBS4	darkred	darkgreen
BBS5	green	green
BBS7	darkgreen	darkgreen
BBS9	thistle1	darkgreen
BBX	turquoise	darkgreen
BCAM	paleturquoise	paleturquoise
BCAN	grey	grey
BCAP29	turquoise	darkgreen
BCAP31	grey	grey
BCAR1	tan	darkgreen
BCAR3	turquoise	darkgreen
BCAS2	cyan	darkgreen
BCAS3	bisque4	bisque4
BCAS4	grey	grey
BCAT1	grey	grey
BCAT2	paleturquoise	paleturquoise
BCCIP	floralwhite	darkgreen
BCDIN3D	grey	grey
BCHE	blue	blue
BCKDHA	paleturquoise	paleturquoise
BCKDHB	maroon	darkgreen
BCKDK	skyblue3	darkgreen
BCL10	brown	brown
BCL11A	grey	grey
BCL11B	violet	brown
BCL2	turquoise	darkgreen
BCL2A1	brown	brown
BCL2L1	grey	grey
BCL2L10	grey	grey
BCL2L11	turquoise	darkgreen
BCL2L12	paleturquoise	paleturquoise
BCL2L13	grey60	darkgreen
BCL2L14	grey	grey
BCL2L15	grey	grey
BCL2L2	turquoise	darkgreen
BCL3	brown	brown
BCL6	purple	darkgreen
BCL6B	blue	blue
BCL7A	black	darkgreen
BCL7B	grey	grey
BCL7C	grey	grey
BCL9	turquoise	darkgreen
BCL9L	yellowgreen	darkgreen
BCLAF1	lightcyan1	darkgreen
BCLAF3	salmon	darkgreen
BCO1	grey	grey
BCOR	turquoise	darkgreen
BCORL1	turquoise	darkgreen
BCR	grey60	darkgreen
BCS1L	turquoise	darkgreen
BDH1	grey	grey
BDH2	darkgreen	darkgreen
BDKRB2	blue	blue
BDP1	saddlebrown	darkgreen
BEAN1	blue	blue
BECN1	darkturquoise	darkgreen
BEGAIN	blue	blue
BEND3	magenta	darkgreen
BEND5	grey	grey
BEND6	blue	blue
BEND7	turquoise	darkgreen
BEST4	red	red
BET1	grey	grey
BET1L	darkorange2	darkgreen
BEX1	grey	grey
BEX2	grey	grey
BEX3	grey	grey
BEX4	grey	grey
BEX5	grey	grey
BFAR	skyblue3	darkgreen
BFSP1	grey	grey
BGLAP	red	red
BGN	blue	blue
BHLHA15	grey	grey
BHLHB9	turquoise	darkgreen
BHLHE22	blue	blue
BHLHE40	blue	blue
BHLHE41	grey	grey
BHMT2	grey	grey
BICC1	blue	blue
BICD1	turquoise	darkgreen
BICD2	midnightblue	darkgreen
BICDL1	grey	grey
BICDL2	grey	grey
BICRA	paleturquoise	paleturquoise
BICRAL	magenta	darkgreen
BID	grey	grey
BIK	grey	grey
BIN1	grey	grey
BIN2	brown	brown
BIN3	palevioletred3	palevioletred3
BIRC2	yellowgreen	darkgreen
BIRC3	brown	brown
BIRC5	yellow	yellow
BIRC6	turquoise	darkgreen
BIVM	blue	blue
BLACAT1	grey	grey
BLCAP	orange	darkgreen
BLM	yellow	yellow
BLMH	darkturquoise	darkgreen
BLNK	brown	brown
BLOC1S1	turquoise	darkgreen
BLOC1S2	floralwhite	darkgreen
BLOC1S3	paleturquoise	paleturquoise
BLOC1S4	royalblue	darkgreen
BLOC1S5	magenta	darkgreen
BLOC1S6	ivory	darkgreen
BLVRA	grey	grey
BLVRB	darkgrey	darkgrey
BLZF1	lightcyan	darkgreen
BMERB1	blue	blue
BMF	turquoise	darkgreen
BMI1	grey	grey
BMP1	blue	blue
BMP2	blue	blue
BMP2K	brown	brown
BMP4	blue	blue
BMP6	turquoise	darkgreen
BMP7	grey	grey
BMP8A	turquoise	darkgreen
BMP8B	midnightblue	darkgreen
BMPR1A	floralwhite	darkgreen
BMPR1B	grey	grey
BMPR2	steelblue	darkgreen
BMS1	turquoise	darkgreen
BMT2	turquoise	darkgreen
BNC1	blue	blue
BNC2	blue	blue
BNIP1	plum1	darkgreen
BNIP2	ivory	darkgreen
BNIP3	grey	grey
BNIP3L	palevioletred3	palevioletred3
BNIPL	grey	grey
BOC	turquoise	darkgreen
BOD1	plum1	darkgreen
BOD1L1	royalblue	darkgreen
BOK	grey	grey
BOLA1	grey	grey
BOLA2-SMG1P6	grey	grey
BOLA2B	grey	grey
BOLA3	turquoise	darkgreen
BOP1	lavenderblush3	lavenderblush3
BORA	yellow	yellow
BORCS5	brown4	brown4
BORCS6	lightyellow	darkgreen
BORCS7	floralwhite	darkgreen
BORCS8	grey	grey
BORCS8-MEF2B	salmon4	salmon4
BPGM	grey	grey
BPHL	magenta	darkgreen
BPIFA2	grey	grey
BPIFB3	grey	grey
BPNT1	lightcyan	darkgreen
BPTF	bisque4	bisque4
BRAF	darkseagreen4	darkgreen
BRAP	black	darkgreen
BRAT1	thistle1	darkgreen
BRCA1	yellow	yellow
BRCA2	yellow	yellow
BRCC3	salmon	darkgreen
BRD1	grey60	darkgreen
BRD2	magenta	darkgreen
BRD3	lightgreen	darkgreen
BRD3OS	lightgreen	darkgreen
BRD4	salmon4	salmon4
BRD7	tan	darkgreen
BRD8	plum1	darkgreen
BRD9	turquoise	darkgreen
BRF1	greenyellow	darkgreen
BRF2	palevioletred3	palevioletred3
BRI3	grey	grey
BRI3BP	yellow	yellow
BRICD5	red	red
BRINP1	blue	blue
BRIP1	yellow	yellow
BRIX1	turquoise	darkgreen
BRK1	grey	grey
BRMS1	yellow	yellow
BRMS1L	greenyellow	darkgreen
BROX	lightcyan	darkgreen
BRPF1	purple	darkgreen
BRPF3	magenta	darkgreen
BRSK1	white	paleturquoise
BRSK2	grey	grey
BRWD1	turquoise	darkgreen
BRWD3	turquoise	darkgreen
BSCL2	darkolivegreen	darkgreen
BSDC1	pink	darkgreen
BSG	orangered4	orangered4
BSN	turquoise	darkgreen
BSND	grey	grey
BSPRY	midnightblue	darkgreen
BST1	brown	brown
BST2	darkmagenta	darkmagenta
BTAF1	floralwhite	darkgreen
BTBD1	darkred	darkgreen
BTBD10	darkorange2	darkgreen
BTBD11	grey	grey
BTBD19	blue	blue
BTBD2	orangered4	orangered4
BTBD3	navajowhite2	navajowhite2
BTBD6	greenyellow	darkgreen
BTBD7	greenyellow	darkgreen
BTBD8	red	red
BTBD9	magenta	darkgreen
BTC	darkmagenta	darkmagenta
BTD	purple	darkgreen
BTF3	saddlebrown	darkgreen
BTF3L4	turquoise	darkgreen
BTG1	grey	grey
BTG2	blue	blue
BTG3	grey	grey
BTK	brown	brown
BTLA	grey	grey
BTN2A1	magenta	darkgreen
BTN2A2	magenta	darkgreen
BTN3A1	magenta	darkgreen
BTN3A2	magenta	darkgreen
BTN3A3	magenta	darkgreen
BTNL9	grey	grey
BTRC	floralwhite	darkgreen
BUB1	yellow	yellow
BUB1B	yellow	yellow
BUB3	yellow	yellow
BUD13	yellowgreen	darkgreen
BUD23	grey	grey
BUD31	grey	grey
