"","TRP","WGCNA","Corr","P.value"
"9060","TRPV2","GPR171",0.553272820893094,0
"9091","TRPV2","GPR18",0.582362756109192,0
"9122","TRPV2","GPR183",0.684183158994475,0
"9184","TRPV2","GPR65",0.752997898656905,0
"9190","TRPM2","GPR65",0.550109463874857,0
"9215","TRPV2","GPSM3",0.590426046065738,0
"9277","TRPV2","GRN",0.596916659682012,0
"9370","TRPV2","GZMA",0.575997735759792,0
"9432","TRPV2","GZMH",0.575918658806598,0
"9463","TRPV2","GZMK",0.639175368447352,0
"9494","TRPV2","GZMM",0.625244888199552,0
"9556","TRPV2","HCK",0.854441119997891,0
"9562","TRPM2","HCK",0.567889898383406,0
"9587","TRPV2","HCLS1",0.715970048013506,0
"9593","TRPM2","HCLS1",0.510791962643255,0
"9711","TRPV2","HGF",0.534834267058223,0
"9742","TRPV2","HHEX",0.502837442748333,0
"9773","TRPV2","HIVEP3",0.607212998354499,0
"9791","PKD2","HIVEP3",0.506962999800134,0
"9804","TRPV2","HK3",0.801039313808816,0
"9810","TRPM2","HK3",0.518650533970323,0
"9835","TRPV2","HMOX1",0.77235750914131,0
"9841","TRPM2","HMOX1",0.52641341379919,0
"9866","TRPV2","HNMT",0.537380220611433,0
"9897","TRPV2","HPGDS",0.534087798368341,0
"9959","TRPV2","HRH2",0.586932255255849,0
"9977","PKD2","HRH2",0.520535274827681,0
"10114","TRPV2","ICAM1",0.551906077681232,0
"10145","TRPV2","ICAM3",0.706571552705223,0
"10176","TRPV2","ICOS",0.639834290246685,0
"10238","TRPV2","IFFO1",0.771878243931787,0
"10256","PKD2","IFFO1",0.582880512913351,0
"10280","TRPM7","IFNAR1",0.525247281131588,0
"10331","TRPV2","IFNGR1",0.523605118301997,0
"10455","TRPV2","IGSF6",0.718741444092156,0
"10517","TRPV2","IKZF1",0.777221357671569,0
"10523","TRPM2","IKZF1",0.554572119295957,0
"10548","TRPV2","IKZF3",0.530849026758446,0
"10579","TRPV2","IL10",0.578883093706217,0
"10610","TRPV2","IL10RA",0.864427312420981,0
"10616","TRPM2","IL10RA",0.601676335176925,0
"10672","TRPV2","IL12RB1",0.738518637871509,0
"10678","TRPM2","IL12RB1",0.61071203751369,0
"10765","TRPV2","IL16",0.750641588825939,0
"10771","TRPM2","IL16",0.521302378634645,0
